Date,Open,High,Low,Close,Volume
2019-12-02,57643.57,57726.77,56790.36,56868.74,41084039
2019-12-03,56822.55,56861.23,56149.81,56191.17,30455601
2019-12-04,56280.78,56718.08,56012.55,56123.68,34143222
2019-12-05,56342.87,56552.1,56091.84,56338.75,30441034
2019-12-06,55824.56,55994.68,55629.42,55994.68,57626597
2019-12-09,55970.05,55970.05,55545.37,55867.95,27305021
2019-12-10,55949.24,55949.24,55324.52,55609.32,27993934
2019-12-11,55658.48,55805.07,55205.88,55531.27,35129956
2019-12-12,55728.18,56621.06,55712.66,56621.06,38195761
2019-12-13,56943.72,57084,56635.86,56729.11,41582155
2019-12-16,56732.32,56987.95,56691.23,56832.07,32979587
2019-12-17,56929.64,57302.98,56835.09,57225.67,45795789
2019-12-18,57283.83,57306.88,56786.09,57169.88,42341856
2019-12-19,57287.87,57348.61,57137.25,57346.95,33988912
2019-12-20,57236.85,57440.92,57097.4,57202.89,74856919
2019-12-23,57176.11,57569.71,57172.18,57569.71,31188919
2019-12-27,57769.5,58132.76,57766.76,57877.81,22200362
2019-12-30,57935.09,58048.6,57780.56,57832.88,20045404
2020-01-02,58122.41,59048.28,58099.1,59048.28,34491073
2020-01-03,58784.34,58784.34,58217.14,58603.27,32907436
2020-01-07,58597.73,58710.74,58216.62,58283.26,34053142
2020-01-08,58191.52,58192.21,57524.72,57596.09,34329726
2020-01-09,58062.05,58447.25,57983.93,58397.17,39292721
2020-01-10,58602.57,58732.09,58327.22,58732.09,33485180
2020-01-13,58780.41,59275.02,58772.62,59275.02,38113281
2020-01-14,59263.65,59298.22,58894.63,59118.97,47634529
2020-01-15,59087.67,59162.08,58616.41,58671.25,38504406
2020-01-16,58824.5,58998.65,58718.97,58962.37,43852653
2020-01-17,58893.5,59130.3,58543.53,59039.84,34074400
2020-01-20,59082.18,59214.29,59014.56,59110.06,27949866
2020-01-21,59019.3,59019.39,58572.59,58616.01,33146421
2020-01-22,58944.72,58944.72,58343.74,58401.69,41675607
2020-01-23,58372.99,58610.62,58292.33,58401.85,36448645
2020-01-24,58518.22,58850.48,58485.78,58607.31,33189386
2020-01-27,58158.26,58187.8,57020.13,57063.12,36698840
2020-01-28,57216.16,57477.97,56991.82,57336.45,28349737
2020-01-29,57523.58,57714.43,57145.55,57351.22,38408636
2020-01-30,56822.54,57161.11,56564.95,56923.36,39524373
2020-01-31,57073.39,57073.39,56371.34,56681.27,55729130
2020-02-03,56550.46,56867.68,56340.25,56795.27,38904472
2020-02-04,57035.64,57777.94,57035.64,57607.63,47119108
2020-02-05,57628.03,58332.39,57547.97,58121.81,37084070
2020-02-06,58380.56,58537.34,57826.8,57900.04,34573831
2020-02-07,57720.85,57834.47,57482.67,57816.25,29845256
2020-02-10,57816.95,57903.79,57320.5,57474.88,25896492
2020-02-11,57688.79,57936.05,57534.73,57816.86,32401033
2020-02-12,58046.88,58322.47,58013.58,58156.08,29968550
2020-02-13,58072.96,58072.96,57462.55,57960.23,32919892
2020-02-14,58172.63,58195.19,57771.07,57895.19,32594199
2020-02-17,58209.66,58221.62,57989.1,58080.88,24358543
2020-02-18,57686.01,57992.37,57686.01,57894.45,25624122
2020-02-19,58051.25,58100.2,57501.28,57957.76,33871626
2020-02-20,57983.93,58016.88,57685.87,57693.12,32373770
2020-02-21,57572.2,57786.69,57365.57,57424.47,27832144
2020-02-24,56862.02,56862.02,55042.35,55088.26,42624449
2020-02-25,55088.22,55219.41,53774.51,53781.02,51136176
2020-02-26,53735.28,53903.15,52721.44,53451.01,53346901
2020-02-27,53221.8,53221.8,50947.43,51318.69,69016882
2020-02-28,50384.77,50384.77,48324.78,49276.54,128936299
2020-03-02,50300.61,51045.31,49395.31,50150.48,67465505
2020-03-03,50641.71,52562.98,50641.71,52231.14,62600374
2020-03-04,51993.34,52287.56,51567,51585.66,47979720
2020-03-05,52014.52,52379.79,50700.44,50753.91,40292201
2020-03-06,50340.91,50340.91,48999.82,49326.23,55551456
2020-03-09,47597.42,47597.42,45215.96,45625.56,71798677
2020-03-10,45992.92,46427.48,44887.9,45043.23,59076804
2020-03-11,45206.25,45368.82,42279.02,42546.88,75807498
2020-03-12,40950.14,40950.14,37164.02,37164.02,94223131
2020-03-13,37770.04,40413.06,37499.65,38629.63,109956952
2020-03-16,38031.23,38031.23,35588.11,37738.36,91736116
2020-03-17,38462.17,40102.09,38173.86,39925.44,113019549
2020-03-18,39791.77,40765.01,38791.06,39313.78,107648470
2020-03-19,39369.43,41041.92,39133.61,41041.92,74990042
2020-03-20,41884.2,43018.7,41039.36,41153.2,154249619
2020-03-23,40442.12,40466.56,39081.81,39207.33,65061799
2020-03-24,40373.44,40807.53,39758.86,40275.9,62890236
2020-03-25,41144.03,41671.21,39495.57,40144.28,72853502
2020-03-26,39779.01,41218.22,39571.12,41202.98,57583410
2020-03-27,41314.79,41438.99,40664.28,40886.9,49872655
2020-03-30,41073.94,41139.09,40127.25,40827.13,62092773
2020-03-31,41042.71,41854.3,41033.74,41624.62,106856874
2020-04-01,41146.45,41373,40877.15,41028.82,60791370
2020-04-02,41170.87,41402.82,40661.03,41219.51,77958612
2020-04-03,41173.09,41621.89,40915.56,41532.37,88428661
2020-04-06,42297.83,43554.47,42297.83,43514.41,103452488
2020-04-07,44116.52,45387.4,44104.47,44110.86,115459592
2020-04-08,44042.59,44463.43,43314.51,43573.02,91765587
2020-04-09,43958.32,44505.76,43720.62,44499.23,78342921
2020-04-14,45015.42,46092.44,44953.36,46092.44,83717072
2020-04-15,46266.01,46394.37,44641.59,44666.91,90647857
2020-04-16,44853.27,44958.6,44440.72,44645.12,78328170
2020-04-17,45225.78,45512.77,45044.47,45353.23,67705853
2020-04-20,45501.22,45681.59,44935.17,45617.35,58217109
2020-04-21,45299.96,45299.96,43852.41,43959.51,65530006
2020-04-22,43982.03,44853.39,43523.94,44777.61,55074495
2020-04-23,45004.16,45450.43,44518.74,45450.43,53108527
2020-04-24,45162.8,45463.94,44884.25,44884.25,47594700
2020-04-27,45344.34,45429.14,44455.02,44704.71,60387846
2020-04-28,44711.22,45399.85,44532.68,44754.03,72442266
2020-04-29,45081.71,46214.68,44913.19,46114.95,65722184
2020-04-30,46402.86,46856.54,45833.61,46117,71554034
2020-05-04,45636.86,45639.53,44884.71,45023.6,42116900
2020-05-05,45373.53,45374,44859.87,45018.81,47305158
2020-05-06,45204.76,45205,44211.91,44312.99,60573067
2020-05-07,44515.56,45072.95,44153.27,44769.05,50991136
2020-05-08,45190.23,45397.98,45117.1,45228.14,39119140
2020-05-11,45527.26,45595.65,44763.79,44840.24,39225921
2020-05-12,44875.33,45701.73,44845.58,45687.43,54205354
2020-05-13,45447.39,45937.83,45279.95,45431.66,47828184
2020-05-14,45142.76,45142.76,43996.33,44450.71,51355431
2020-05-15,44796.1,44940.15,44266.47,44348.22,34116116
2020-05-18,44994.42,45873.81,44812.88,45873.81,53619072
2020-05-19,46229.78,46310.97,45728.13,45949.97,44614054
2020-05-20,45969.68,46491.15,45848.88,46295.02,51723773
2020-05-21,46188.2,46406.92,46008.18,46073.39,45391413
2020-05-22,45820.75,45993.38,45557.37,45915.72,52569776
2020-05-25,46240.77,46487.9,46026.97,46412.32,37270352
2020-05-26,46838.65,47928.72,46769.81,47897.84,103883550
2020-05-27,47999.95,49151.07,47836.3,47889.07,106427299
2020-05-28,48505.68,49053.31,47567.32,48144.34,101489708
2020-05-29,48035.66,48177.01,47690.82,48127.64,175526858
